Year,Landings
1903,543
1904,852
1905,2284
1906,7042
1907,4739
1908,6275
1909,5398
1910,7320
1911,8273
1912,9427
1913,15354
1914,15626
1915,7226
1916,5880
1917,3608
1918,490
1919,5394
1920,12668
1921,9195
1922,20902
1923,19794
1924,52656
1925,51164
1926,33451
1927,46856
1928,61749
1929,47985
1930,42461
1931,30002
1932,35082
1933,32817
1934,41306
1935,43566
1936,51757
1937,49713
1938,64531
1939,32513
1940,6315
1941,15637
1942,29754
1943,34282
1944,56369
1945,27206
1946,39965
1947,42032
1948,108740
1949,84755
1950,53150
1951,74096
1952,88317
1953,73151
1954,69629
1955,47843
1956,67860
1957,62061
1958,53178
1959,48479
1960,48039
1961,49795
1962,50385
1963,48449
1964,60417
1965,60107
1966,52644
1967,76844
1968,78801
1969,116601
1970,116892
1971,136662
1972,113089
1973,113493
1974,101144
1975,91034
1976,83845
1977,64038
1978,52636
1979,67827
