Year,Landings,Country
1963,6241,USA (Gulf of Maine)
1964,9008,USA (Gulf of Maine)
1965,9000,USA (Gulf of Maine)
1966,9847,USA (Gulf of Maine)
1967,8534,USA (Gulf of Maine)
1968,5222,USA (Gulf of Maine)
1969,9822,USA (Gulf of Maine)
1970,11976,USA (Gulf of Maine)
1971,15203,USA (Gulf of Maine)
1972,13013,USA (Gulf of Maine)
1973,13076,USA (Gulf of Maine)
1974,12393,USA (Gulf of Maine)
1975,13871,USA (Gulf of Maine)
1976,13382,USA (Gulf of Maine)
1977,16273,USA (Gulf of Maine)
1978,22305,USA (Gulf of Maine)
1979,18452,USA (Gulf of Maine)
1980,23539,USA (Gulf of Maine)
1981,22820,USA (Gulf of Maine)
1982,20285,USA (Gulf of Maine)
1983,18397,USA (Gulf of Maine)
1984,20748,USA (Gulf of Maine)
1985,21328,USA (Gulf of Maine)
1986,26650,USA (Gulf of Maine)
1987,23583,USA (Gulf of Maine)
1988,17815,USA (Gulf of Maine)
1989,12693,USA (Gulf of Maine)
1990,11674,USA (Gulf of Maine)
1991,10153,USA (Gulf of Maine)
1992,10721,USA (Gulf of Maine)
1993,10290,USA (Gulf of Maine)
1994,7585,USA (Gulf of Maine)
1995,4858,USA (Gulf of Maine)
1996,4759,USA (Gulf of Maine)
1997,5991,USA (Gulf of Maine)
1998,7994,USA (Gulf of Maine)
1999,5815,USA (Gulf of Maine)
2000,5772,USA (Gulf of Maine)
2001,6430,USA (Gulf of Maine)
2002,5735,USA (Gulf of Maine)
2003,6829,USA (Gulf of Maine)
2004,7512,USA (Gulf of Maine)
2005,8687,USA (Gulf of Maine)
2006,7390,USA (Gulf of Maine)
2007,8373,USA (Gulf of Maine)
2008,10040,USA (Gulf of Maine)
2009,7504,USA (Gulf of Maine)
2010,5153,USA (Gulf of Maine)
2011,7211,USA (Gulf of Maine)
2012,6742,USA (Gulf of Maine)
2013,5058,USA (Gulf of Maine)
2014,4545,USA (Gulf of Maine)
2015,3043,USA (Gulf of Maine)
2016,2582,USA (Gulf of Maine)
2017,3249,USA (Gulf of Maine)
2018,3078,USA (Gulf of Maine)
1990,38385,Canada
1991,40771,Canada
1992,34070,Canada
1993,21579,Canada
1994,15596,Canada
1995,10222,Canada
1996,9674,Canada
1997,12604,Canada
1998,15094,Canada
1999,8553,Canada
2000,6535,Canada
2001,7191,Canada
2002,7561,Canada
2003,8636,Canada
2004,8777,Canada
2005,8082,Canada
2006,4896,Canada
2007,6943,Canada
2008,5800,Canada
2009,5518,Canada
2010,5370,Canada
2011,5536,Canada
2012,5777,Canada
2013,3866,Canada
2014,3204,Canada
2015,4046,Canada
2016,3670,Canada
2017,3352,Canada
2018,3707,Canada
2019,2977,Canada
2020,3171,Canada
